candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage1_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage1_roc_auc_fold_std,stage1_balanced_accuracy,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,matched_base_flat_f1,delta_flat_f1_vs_matched_base,stage1_move_f1,stage1_brier_score
futures_smallcap+interaction_consensus+volatility_options_short,futures_smallcap|interaction_consensus|volatility_options_short,3,47,824,2017-07-18,2020-10-26,0.5022660248070084,0.528178940064186,-0.025912915257177538,0.0756657570421513,0.5346083788706739,0.4558139534883721,0.3888888888888889,0.4197002141327623,0.4484848484848485,-0.02878463435208617,0.647594278283485,0.27472202353444813
futures_core+trend_direction+volatility_options_short,futures_core|trend_direction|volatility_options_short,3,55,2457,2011-01-11,2020-10-26,0.5877427160924892,0.6139116814090627,-0.026168965316573534,0.021612955885446747,0.5748152351024208,0.49064906490649063,0.5807291666666666,0.531902206320811,0.5408038976857491,-0.008901691364938125,0.6088689586447434,0.25135263316781975
equity_rotation+futures_core+futures_smallcap+volatility_options_core+volatility_options_short,equity_rotation|futures_core|futures_smallcap|volatility_options_core|volatility_options_short,5,69,786,2017-07-18,2020-10-26,0.5227774094388524,0.5495268519076608,-0.026749442468808393,0.006020202859296426,0.5357663793623049,0.43703703703703706,0.502127659574468,0.46732673267326735,0.4612159329140461,0.0061107997592212415,0.5991058122205664,0.2615041441109043
rates_credit,rates_credit,1,37,3368,2007-06-08,2020-10-26,0.5816955444904628,0.6085387355804779,-0.026843191090015095,0.017163702440705843,0.5658767276280888,0.4883720930232558,0.5028735632183908,0.49551675318546484,0.5344057193923145,-0.03888896620684967,0.6355267644050461,0.2446211707893054
calendar+trend_direction,calendar|trend_direction,2,48,3157,2008-04-10,2020-10-26,0.5627667890909627,0.5900327448117174,-0.027265955720754742,0.0039813115269189715,0.5434853312093455,0.47395171537484115,0.3837448559670782,0.42410460488914153,0.4675467546754675,-0.04344214978632599,0.6594957983193277,0.2463864424095656
futures_core+interaction_consensus+volatility_options_core,futures_core|interaction_consensus|volatility_options_core,3,57,3295,2007-06-08,2020-10-26,0.5799975393068688,0.6073693703194439,-0.02737183101257512,0.020927507675651696,0.568204126663503,0.4863436123348018,0.5395894428152492,0.5115848007414272,0.5386715195632393,-0.027086718821812128,0.620863309352518,0.24547199675629217
calendar+technical_dynamics,calendar|technical_dynamics,2,51,3368,2007-06-08,2020-10-26,0.5809315877373954,0.6085387355804779,-0.02760714784308249,0.012809336749397344,0.5565638233514821,0.4993788819875776,0.3850574712643678,0.43482963764196864,0.5344057193923145,-0.09957608175034588,0.6737433655947549,0.24381688565540305
calendar+volatility_options_core+volatility_options_short,calendar|volatility_options_core|volatility_options_short,3,50,2399,2011-01-11,2020-10-26,0.5951270716258995,0.6242567400382121,-0.02912966841231257,0.013337183633207432,0.578537483770085,0.5025510204081632,0.5281501340482574,0.515032679738562,0.563914373088685,-0.048881693350122934,0.6405038759689923,0.2405879662541197
calendar+futures_core+volatility_options_core,calendar|futures_core|volatility_options_core,3,54,3295,2007-06-08,2020-10-26,0.5779296106561533,0.6073693703194439,-0.0294397596632906,0.016036943321909445,0.5668169447114701,0.4979123173277662,0.4662756598240469,0.4815749621403332,0.5386715195632393,-0.05709655742290615,0.6526885356780521,0.24656094028685252
equity_rotation+flat_regime_state+futures_smallcap+trend_direction,equity_rotation|flat_regime_state|futures_smallcap|trend_direction,4,90,782,2017-07-18,2020-10-26,0.5066983109654724,0.5366479531600126,-0.029949642194540216,0.04043661407869056,0.5303893694431727,0.440625,0.5826446280991735,0.501779359430605,0.4826254826254826,0.019153876805122427,0.5394736842105263,0.26553111852219646
flat_regime_state,flat_regime_state,1,54,3132,2007-06-11,2020-10-26,0.5592930105125227,0.5908495637154174,-0.031556553202894744,0.034539730025495874,0.5547641383007236,0.4722932651321398,0.5630081300813008,0.5136764024107556,0.5346171480972031,-0.020940745686447437,0.5871704053522235,0.2519822640413684
calendar+interaction_consensus,calendar|interaction_consensus,2,42,3364,2007-06-08,2020-10-26,0.5836999952047754,0.6159656998889322,-0.03226570468415679,0.03185830799265548,0.557579629886431,0.478584729981378,0.4932821497120921,0.48582230623818523,0.5485307212822796,-0.06270841504409441,0.6286689419795222,0.2460943944600509
equity_rotation+futures_core+futures_smallcap+rates_credit,equity_rotation|futures_core|futures_smallcap|rates_credit,4,65,824,2017-07-18,2020-10-26,0.4957064793130367,0.528178940064186,-0.03247246075114929,0.017072445313566543,0.5172066094197242,0.42916666666666664,0.4087301587301587,0.4186991869918699,0.4484848484848485,-0.029785661492978566,0.6155913978494624,0.2721743008294263
calendar+futures_smallcap+interaction_consensus+rates_credit+volatility_options_core,calendar|futures_smallcap|interaction_consensus|rates_credit|volatility_options_core,5,80,786,2017-07-18,2020-10-26,0.5167500452052318,0.5495268519076608,-0.032776806702428996,0.06305780854286212,0.5364474715207039,0.44129554655870445,0.46382978723404256,0.45228215767634855,0.4612159329140461,-0.008933775237697561,0.6195965417867435,0.26451932069445067
macro_cross_asset,macro_cross_asset,1,29,3356,2007-06-08,2020-10-26,0.5700035785158919,0.6028146654087642,-0.032811086892872265,0.019985513393494508,0.5530244965678779,0.47339449541284406,0.4952015355086372,0.48405253283302063,0.5385288966725044,-0.05447636383948373,0.6209510682288077,0.24337269618484475
futures_smallcap+interaction_consensus+technical_dynamics,futures_smallcap|interaction_consensus|technical_dynamics,3,62,824,2017-07-18,2020-10-26,0.49392835458409234,0.528178940064186,-0.03425058548009363,0.050682598160118164,0.5146370023419204,0.4217252396166134,0.5238095238095238,0.4672566371681416,0.4484848484848485,0.0187717886832931,0.5514157973174366,0.26389574687672634
equity_rotation+futures_core,equity_rotation|futures_core,2,41,3362,2007-06-08,2020-10-26,0.5747541030442653,0.6097478306265405,-0.03499372758227515,0.034969221509649775,0.5617112402245084,0.48333333333333334,0.5009596928982726,0.49198868991517436,0.5228758169934641,-0.030887127078289722,0.630568882796436,0.2441079295215566
breadth,breadth,1,36,3368,2007-06-08,2020-10-26,0.5732144611454957,0.6085387355804779,-0.035324274434982206,0.042949088952405595,0.5599880559045713,0.4825636192271442,0.4904214559386973,0.4864608076009501,0.5344057193923145,-0.0479449117913644,0.6331862911435358,0.24509252958600622
futures_core+futures_smallcap+interaction_consensus+macro_cross_asset+trend_direction,futures_core|futures_smallcap|interaction_consensus|macro_cross_asset|trend_direction,5,77,820,2017-07-18,2020-10-26,0.49729315068493146,0.5347506849315069,-0.03745753424657544,0.024841725786700023,0.5112876712328767,0.42152466367713004,0.376,0.3974630021141649,0.45,-0.0525369978858351,0.6235138705416117,0.26494518775063375
calendar+flat_regime_state+futures_smallcap+interaction_consensus+rates_credit,calendar|flat_regime_state|futures_smallcap|interaction_consensus|rates_credit,5,99,782,2017-07-18,2020-10-26,0.49891574103076886,0.5366479531600126,-0.037732212129243714,0.046209581078715874,0.5171192443919717,0.43243243243243246,0.4628099173553719,0.4471057884231537,0.4826254826254826,-0.03551969420232892,0.585949177877429,0.2731543209569767
