candidate_name,groups,status,feature_count,training_rows,training_start,training_end,matched_base_roc_auc,delta_roc_auc_vs_matched_base,decision_threshold,stage2_roc_auc,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,oof_move_rows
breadth+calendar+equity_rotation+futures_core+macro_cross_asset+volatility_options_core,"['breadth', 'calendar', 'equity_rotation', 'futures_core', 'macro_cross_asset', 'volatility_options_core']",ok,88,2590,2007-08-20,2018-02-02,0.48758453085376163,0.0025326236263736313,0.4793953597545624,0.49011715448013526,0.5587711536965113,0.26953154534387475,0.509529532967033,0.5094186779987384,0.43202416918429004,0.5868131868131868,0.49810000413450045,0.01742511934491554,786
futures_core,['futures_core'],ok,32,2627,2007-08-20,2018-02-02,0.49427824718987085,0.0022265357387531437,0.45888273417949677,0.496504782928624,0.5732256814981586,0.2609085420135985,0.49674583238182235,0.496671200515427,0.42503639010189226,0.5683060109289617,0.4768535192293279,0.032528128859297394,801
breadth+calendar+rates_credit+trend_direction,"['breadth', 'calendar', 'rates_credit', 'trend_direction']",ok,80,2472,2008-04-10,2018-02-02,0.5107050974578119,0.002114856320586056,0.5195564925670624,0.512819953778398,0.5799170695740314,0.25689029254992113,0.5339612494367652,0.532633460468512,0.4889543446244477,0.5763125763125763,0.5190759414428947,0.030640453386021713,749
breadth+calendar+technical_dynamics,"['breadth', 'calendar', 'technical_dynamics']",ok,67,2633,2007-08-20,2018-02-02,0.482387020559996,0.002105011813200608,0.5009473860263824,0.4844920323731966,0.5456635022650467,0.2638387205796169,0.498875232493842,0.49827356244468546,0.4490358126721763,0.5475113122171946,0.4860858342442671,0.017276565117482684,805
calendar+macro_cross_asset+rates_credit,"['calendar', 'macro_cross_asset', 'rates_credit']",ok,55,2625,2007-08-20,2018-02-02,0.4924114993501033,0.002077121084690381,0.5184819400310516,0.4944886204347937,0.5478973019478955,0.2667097251706508,0.5322431633407243,0.5255113952413409,0.5171974522292994,0.5338253382533825,0.500626464447885,0.03219073654822495,799
macro_cross_asset+technical_dynamics+volatility_options_core,"['macro_cross_asset', 'technical_dynamics', 'volatility_options_core']",ok,65,2590,2007-08-20,2018-02-02,0.48758453085376163,0.0016245773457311818,0.4872274249792099,0.4892091081994928,0.5459588855820936,0.26382147933643674,0.5144296808960271,0.5109740783999662,0.4817320703653586,0.5402160864345739,0.482104479810247,0.05422657671782241,786
breadth+calendar+interaction_consensus+macro_cross_asset+rates_credit,"['breadth', 'calendar', 'interaction_consensus', 'macro_cross_asset', 'rates_credit']",ok,82,2625,2007-08-20,2018-02-02,0.4924114993501033,0.001516425822565337,0.5120899975299835,0.49392792517266865,0.5719338439921128,0.26264388961681984,0.5070373626933762,0.5025179692511336,0.48508430609597925,0.5199516324062878,0.49369987190284254,0.04156264233624294,799
calendar+equity_rotation+interaction_consensus+macro_cross_asset+volatility_options_core,"['calendar', 'equity_rotation', 'interaction_consensus', 'macro_cross_asset', 'volatility_options_core']",ok,75,2590,2007-08-20,2018-02-02,0.48758453085376163,0.0011094674556212936,0.47241371870040894,0.4886939983093829,0.5660040021218276,0.26677902005650744,0.4927356297548605,0.4925875247014066,0.4312590448625181,0.5539160045402951,0.48942359365347743,0.011025933324071674,786
calendar+rates_credit+technical_dynamics,"['calendar', 'rates_credit', 'technical_dynamics']",ok,68,2633,2007-08-20,2018-02-02,0.482387020559996,0.0009865279243954084,0.4785967320203781,0.4833735484843914,0.559702731981812,0.2642472415664177,0.48675727642889455,0.4865358139769871,0.4093567251461988,0.5637149028077754,0.4862525076950917,0.03750682380375899,805
breadth+calendar+futures_core+interaction_consensus+macro_cross_asset+trend_direction,"['breadth', 'calendar', 'futures_core', 'interaction_consensus', 'macro_cross_asset', 'trend_direction']",ok,94,2464,2008-04-10,2018-02-02,0.5065938594683701,0.0005004268346530116,0.5168004930019379,0.5070942863030231,0.576337605161904,0.2587029648665055,0.5086176444614524,0.508367944266178,0.45220030349013657,0.5645355850422196,0.5066070299388167,0.035435202674937306,744
