trade_date,actual_log_return,sarimax_prediction,is_out_of_sample,data_split,forecast_mode,oof_fold
2018-01-04,0.004205969006937856,-0.00025659832483661076,True,validation,one_step_walk_forward,
2018-01-05,0.0066419636880151334,-0.0001366590466079572,True,validation,one_step_walk_forward,
2018-01-08,0.001827018359887614,-0.0002731279066076805,True,validation,one_step_walk_forward,
2018-01-09,0.00226085897400062,4.071602566008885e-08,True,validation,one_step_walk_forward,
2018-01-10,-0.0015310520430786246,-1.9813716645119395e-05,True,validation,one_step_walk_forward,
2018-01-11,0.007269587246673126,0.000194073047942018,True,validation,one_step_walk_forward,
2018-01-12,0.006497814656286375,-0.00030019721464371826,True,validation,one_step_walk_forward,
2018-01-16,-0.0034241493275315635,-0.00025577179205537464,True,validation,one_step_walk_forward,
2018-01-17,0.00948652123001412,0.0003015108734071322,True,validation,one_step_walk_forward,
2018-01-18,-0.0016822221528580157,-0.00042265011596791377,True,validation,one_step_walk_forward,
2018-01-19,0.004539330364915846,0.00021036008090164545,True,validation,one_step_walk_forward,
2018-01-22,0.008098068600671672,-0.00013788336036301888,True,validation,one_step_walk_forward,
2018-01-23,0.0021202385831359228,-0.00033673803988867483,True,validation,one_step_walk_forward,
2018-01-24,-0.0003884261136045274,-2.4773755738330302e-06,True,validation,one_step_walk_forward,
2018-01-25,0.0004236517551174197,0.0001393533609392467,True,validation,one_step_walk_forward,
2018-01-26,0.011511318685595344,9.361146384562782e-05,True,validation,one_step_walk_forward,
2018-01-29,-0.006651965730186924,-0.0005281750102710865,True,validation,one_step_walk_forward,
2018-01-30,-0.01031003729590082,0.0004974260173546898,True,validation,one_step_walk_forward,
2018-01-31,0.000496697061447709,0.0007054069764088511,True,validation,one_step_walk_forward,
2018-02-01,-0.0011358251214389856,9.7841772613038e-05,True,validation,one_step_walk_forward,
2018-02-02,-0.022010383111866608,0.00019408108720812785,True,validation,one_step_walk_forward,
2018-02-05,-0.042722279513735646,0.001372615515377163,True,validation,one_step_walk_forward,
2018-02-06,0.019510663660577923,0.0025316302496047917,True,validation,one_step_walk_forward,
2018-02-07,-0.005439623715762403,-0.0009669161926228265,True,validation,one_step_walk_forward,
2018-02-08,-0.03823046263704881,0.000439150746390129,True,validation,one_step_walk_forward,
2018-02-09,0.014909817475535768,0.002284359825210284,True,validation,one_step_walk_forward,
2018-02-12,0.01457772518222007,-0.000705928742782491,True,validation,one_step_walk_forward,
2018-02-13,0.0024843000945013955,-0.0006845869811715681,True,validation,one_step_walk_forward,
2018-02-14,0.013405963996401723,-8.698788493773763e-06,True,validation,one_step_walk_forward,
2018-02-15,0.012679402008324459,-0.0006170352280155494,True,validation,one_step_walk_forward,
2018-02-16,0.00029291601113895456,-0.0005758887797322982,True,validation,one_step_walk_forward,
2018-02-20,-0.006280865885799406,0.0001168755122492377,True,validation,one_step_walk_forward,
2018-02-21,-0.004986643075721539,0.0004860593911381989,True,validation,one_step_walk_forward,
2018-02-22,0.0012952397605923607,0.000417853378276105,True,validation,one_step_walk_forward,
2018-02-23,0.015813643085869314,6.302188126093168e-05,True,validation,one_step_walk_forward,
2018-02-26,0.011545350102960344,-0.0007568302326098289,True,validation,one_step_walk_forward,
2018-02-27,-0.01256512215254109,-0.0005187205142065459,True,validation,one_step_walk_forward,
2018-02-28,-0.01018174210369951,0.0008398448179416783,True,validation,one_step_walk_forward,
2018-03-01,-0.014647454403250413,0.0007042957169850371,True,validation,one_step_walk_forward,
2018-03-02,0.005141687129042214,0.0009496606202104313,True,validation,one_step_walk_forward,
2018-03-05,0.011491677564123457,-0.00016023234638217875,True,validation,one_step_walk_forward,
2018-03-06,0.0025317951848754217,-0.0005153956443224178,True,validation,one_step_walk_forward,
2018-03-07,-0.00036655098033279134,-1.2664824488366427e-05,True,validation,one_step_walk_forward,
